SMILES,MolecularFormula,MolecularWeight,IUPACName,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,C15H10O5,270.24,"5,6,7-trihydroxy-2-phenylchromen-4-one",1.7,87,3,5,1,20,412
C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,C15H10O6,286.24,"2-(3,4-dihydroxyphenyl)-3,7-dihydroxychromen-4-one",2,107,4,6,1,21,459
COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C16H12O7,316.26,"3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one",1.9,116,4,7,2,23,503
COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,C16H12O5,284.26,7-hydroxy-3-(3-hydroxy-4-methoxyphenyl)chromen-4-one,2.4,76,2,5,2,21,432
C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O7,302.23,"2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",1.5,127,5,7,1,22,488
C1=C(C=C(C(=C1O)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C15H10O7,302.23,"5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one",1,127,5,7,1,22,465
C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,C15H12O6,288.25,"(2S)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-2,3-dihydrochromen-4-one",2,107,4,6,1,21,400
C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O)O,C15H10O8,318.23,"2-(3,4-dihydroxyphenyl)-3,5,6,7-tetrahydroxychromen-4-one",1.2,148,6,8,1,23,518
C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O,C15H11O6+,287.24,"2-(3,4-dihydroxyphenyl)chromenylium-3,5,7-triol",,102,5,5,1,21,364
C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C=C3)O)O)O,C15H10O5,270.24,"2-(3,4-dihydroxyphenyl)-7-hydroxychromen-4-one",2.9,87,3,5,1,20,418
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,C15H12O6,288.25,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-2,3-dihydrochromen-4-one",2,107,4,6,1,21,400
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3O)O)O,C15H10O5,270.24,"7,8-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one",2.1,87,3,5,1,20,410
C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,C21H20O11,448.4,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",-0.2,197,8,11,3,32,729
COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O,C16H12O6,300.26,"5,7-dihydroxy-2-(4-hydroxyphenyl)-6-methoxychromen-4-one",1.7,96.2,3,6,2,22,454
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC,C18H16O7,344.3,"2-(3,4-dimethoxyphenyl)-5,7-dihydroxy-6-methoxychromen-4-one",2.9,94.5,2,7,4,25,520
COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C16H12O6,300.26,"5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one",1.7,96.2,3,6,2,22,462
COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O,C16H12O7,316.26,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-methoxychromen-4-one",1.4,116,4,7,2,23,491
COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,C16H12O5,284.26,"5,7-dihydroxy-8-methoxy-2-phenylchromen-4-one",3,76,2,5,2,21,426
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C=C3)O)O,C15H10O4,254.24,7-hydroxy-2-(4-hydroxyphenyl)chromen-4-one,3.3,66.8,2,4,1,19,382
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O,C18H16O7,344.3,"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-6,7-dimethoxychromen-4-one",2.9,94.5,2,7,4,25,520
CN1CCC[C@H]1C2=CN=CC=C2,C10H14N2,162.23,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,1.2,16.1,0,2,1,12,147
C1C[C@H](NC1)C2=CN=CC=C2,C9H12N2,148.2,3-[(2S)-pyrrolidin-2-yl]pyridine,0.2,24.9,1,2,1,11,125
C1CC(NC1)C2=CN=CC=C2,C9H12N2,148.2,3-pyrrolidin-2-ylpyridine,0.2,24.9,1,2,1,11,125
CN1CCCC1C2=CN=CC=C2,C10H14N2,162.23,3-(1-methylpyrrolidin-2-yl)pyridine,1.2,16.1,0,2,1,12,147
C1CC(=NC1)C2=CN=CC=C2,C9H10N2,146.19,"3-(3,4-dihydro-2H-pyrrol-5-yl)pyridine",0.6,25.3,0,2,1,11,163
CCC1=CN=C(C=C1)C,C8H11N,121.18,5-ethyl-2-methylpyridine,2,12.9,0,1,1,9,80
C1CCN=C(C1)C2=CN=CC=C2,C10H12N2,160.22,"3-(2,3,4,5-tetrahydropyridin-6-yl)pyridine",1,25.3,0,2,1,12,175
C1C[C@H](N(C1)N=O)C2=CN=CC=C2,C9H11N3O,177.2,3-[(2S)-1-nitrosopyrrolidin-2-yl]pyridine,1.1,45.6,0,4,1,13,186
C1CC(N(C1)N=O)C2=CN=CC=C2,C9H11N3O,177.2,3-(1-nitrosopyrrolidin-2-yl)pyridine,1.1,45.6,0,4,1,13,186
CCC1=CN=CC=C1,C7H9N,107.15,3-ethylpyridine,1.7,12.9,0,1,1,8,61
CCCCC1=CN=CC=C1,C9H13N,135.21,3-butylpyridine,2.5,12.9,0,1,3,10,80
CCCCCC1=CN=CC=C1,C10H15N,149.23,3-pentylpyridine,3,12.9,0,1,4,11,90
C1C=CCN[C@@H]1C2=CN=CC=C2,C10H12N2,160.22,"3-[(2S)-1,2,3,6-tetrahydropyridin-2-yl]pyridine",0.9,24.9,1,2,1,12,165
C[N+]1(CCCC1C2=CN=CC=C2)[O-],C10H14N2O,178.23,3-(1-methyl-1-oxidopyrrolidin-1-ium-2-yl)pyridine,0.7,31,0,2,1,13,186
CC(C)CC1=CN=CC=C1,C9H13N,135.21,3-(2-methylpropyl)pyridine,2.5,12.9,0,1,2,10,88
CCCC1=CN=CC=C1,C8H11N,121.18,3-propylpyridine,1.9,12.9,0,1,2,9,71
CN1CCC[C@H]1C2=CN=CC=C2.Cl,C10H15ClN2,198.69,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine;hydrochloride,,16.1,1,2,1,13,147
CN1C=CC=C1C2=CN=CC=C2,C10H10N2,158.2,3-(1-methylpyrrol-2-yl)pyridine,1.3,17.8,0,1,1,12,147
CN1CCC[C@@H]1C2=CN=CC=C2,C10H14N2,162.23,3-[(2R)-1-methylpyrrolidin-2-yl]pyridine,1.2,16.1,0,2,1,12,147
C1CCN(C1)CCC2=CC=NC=C2,C11H16N2,176.26,4-(2-pyrrolidin-1-ylethyl)pyridine,1.6,16.1,0,2,3,13,135
CN1CCC[C@H]1C2=CN=CC(=C2)C#C,C12H14N2,186.25,3-ethynyl-5-[(2S)-1-methylpyrrolidin-2-yl]pyridine,1.4,16.1,0,2,2,14,240
C[N+]1(CCC[C@H]1C2=CN=CC=C2)[O-],C10H14N2O,178.23,3-[(2S)-1-methyl-1-oxidopyrrolidin-1-ium-2-yl]pyridine,0.7,31,0,2,1,13,186
C1C[C@@H](NC1)C2=CN=CC=C2,C9H12N2,148.2,3-[(2R)-pyrrolidin-2-yl]pyridine,0.2,24.9,1,2,1,11,125
CN1CCC[C@H]1C2=C[N+](=CC=C2)[O-],C10H14N2O,178.23,3-[(2S)-1-methylpyrrolidin-2-yl]-1-oxidopyridin-1-ium,0.2,28.7,0,2,1,13,174
C1C=CCNC1C2=CN=CC=C2,C10H12N2,160.22,"3-(1,2,3,6-tetrahydropyridin-2-yl)pyridine",0.9,24.9,1,2,1,12,165
CCCC1=CC=NC=C1,C8H11N,121.18,4-propylpyridine,2.1,12.9,0,1,2,9,65
CN(C)CC1=CN=CC=C1,C8H12N2,136.19,"N,N-dimethyl-1-pyridin-3-ylmethanamine",0.5,16.1,0,2,2,10,91
C1C=CCN([C@@H]1C2=CN=CC=C2)N=O,C10H11N3O,189.21,"3-[(2S)-1-nitroso-3,6-dihydro-2H-pyridin-2-yl]pyridine",1.3,45.6,0,4,1,14,229
CCCCCCC1=CN=CC=C1,C11H17N,163.26,3-hexylpyridine,3.5,12.9,0,1,5,12,101
C1=CC=C(C=C1)CN2C=CC=C2,C11H11N,157.21,1-benzylpyrrole,2.7,4.9,0,0,2,12,121
C[NH+]1CCC[C@H]1C2=CN=CC=C2,C10H15N2+,163.24,3-[(2S)-1-methylpyrrolidin-1-ium-2-yl]pyridine,1.2,17.3,1,1,1,12,147
CCCCOC1=NC(=C2C(=N1)N(N(C(=O)N2)C)CC3=NC=CC(=C3)CN4CCCC4)N,C21H30N8O2,426.5,"5-amino-7-butoxy-2-methyl-1-[[4-(pyrrolidin-1-ylmethyl)-2-pyridinyl]methyl]-4H-pyrimido[5,4-e][1,2,4]triazin-3-one",1.8,113,2,8,8,31,590
CC(C)C(C(=O)NC(CC1CCCCC1)C(=O)NC(C)(C)CC2=CC=CC=C2)NC(=O)C(CNC(=O)C3=NNN=N3)N,C29H45N9O4,583.7,N-[2-amino-3-[[1-[[3-cyclohexyl-1-[(2-methyl-1-phenylpropan-2-yl)amino]-1-oxopropan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-3-oxopropyl]-2H-tetrazole-5-carboxamide,3.3,197,6,8,14,42,904
COC1=CC=C(C=C1)CN(CCN2CCOCC2)CC3=NC(=CO3)C(=O)NCC4=CC=CC=C4,C26H32N4O4,464.6,"N-benzyl-2-[[(4-methoxyphenyl)methyl-(2-morpholin-4-ylethyl)amino]methyl]-1,3-oxazole-4-carboxamide",2.4,80.1,1,7,11,34,589
CN=C(NCC1=CC=NN1)NC2CCN(C2)C3=C(C=CC=N3)F,C15H20FN7,317.36,1-[1-(3-fluoro-2-pyridinyl)pyrrolidin-3-yl]-2-methyl-3-(1H-pyrazol-5-ylmethyl)guanidine,0.8,81.2,3,5,6,23,405
C1[C@H]2[C@H]([C@H](S1)CCCCC(=O)NC3=CC(=CC=C3)Br)NC(=O)N2,C16H20BrN3O2S,398.3,"5-[(3aR,4R,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]-N-(3-bromophenyl)pentanamide",2.3,95.5,3,3,6,23,451
CCC(=O)N1CCCC(C1)[C@@H](C)CC(=O)OC(C)(C)C,C16H29NO3,283.41,tert-butyl (3S)-3-(1-propanoylpiperidin-3-yl)butanoate,2.5,46.6,0,3,6,20,346
[2H]C([2H])([2H])C1=C(N(N=N1)C)C2=CC3=C(C4=C(N3C(C5CCOCC5)C6=NOC(=C6)C)C=C(C=C4)C(C)(C)O)N=C2,C28H32N6O3,503.6,"2-[5-[(5-methyl-1,2-oxazol-3-yl)-(oxan-4-yl)methyl]-3-[3-methyl-5-(trideuteriomethyl)triazol-4-yl]pyrido[3,2-b]indol-7-yl]propan-2-ol",3,104,1,7,5,37,796
CC1=NN(C2=C1C=C(S2)C(=O)C(C#N)C3=NN=C4N3CCCCC4)C5=CC=CC=C5,C22H20N6OS,416.5,"3-(3-methyl-1-phenylthieno[3,2-d]pyrazol-5-yl)-3-oxo-2-(6,7,8,9-tetrahydro-5H-[1,2,4]triazolo[4,3-a]azepin-3-yl)propanenitrile",3.9,118,0,6,4,30,690
CC1=C(C=C(C=C1)Cl)NC(=O)C2CCCN2C(=O)C3CCN(CC3)C(C)C(=O)NC4=C(C=C(C=C4)C(=O)NC5=CC=CC=C5)C,C35H40ClN5O4,630.2,N-(5-chloro-2-methylphenyl)-1-[1-[1-[2-methyl-4-(phenylcarbamoyl)anilino]-1-oxopropan-2-yl]piperidine-4-carbonyl]pyrrolidine-2-carboxamide,5.1,111,3,5,8,45,1050
CCSCCC(CC(C)C)CCl,C10H21ClS,208.79,3-(chloromethyl)-1-ethylsulfanyl-5-methylhexane,4.1,25.3,0,1,7,12,93
CCC(CO)NC(=S)NC(C)(C)C,C9H20N2OS,204.34,1-tert-butyl-3-(1-hydroxybutan-2-yl)thiourea,1.2,76.4,3,2,4,13,165
CC1=C(C(=CN=C1I)C(F)F)CN,C8H9F2IN2,298.07,[5-(difluoromethyl)-2-iodo-3-methyl-4-pyridinyl]methanamine,1.4,38.9,1,4,2,13,168
CC1=C(C=NO1)CN2C=C(C=N2)N3C(=O)CN(C3=O)CCC4=CC=CC=C4,C19H19N5O3,365.4,"3-[1-[(5-methyl-1,2-oxazol-4-yl)methyl]pyrazol-4-yl]-1-(2-phenylethyl)imidazolidine-2,4-dione",1.6,84.5,0,5,6,27,553
CC(=O)NC1=[N+](C=CC(=N1)C2=CC=CC=C2)O,C12H12N3O2+,230.24,N-(1-hydroxy-4-phenylpyrimidin-1-ium-2-yl)acetamide,1.6,66.1,2,3,2,17,266
C1COCCN1CCCOC2=C(C=CC(=C2)NC(=O)CC34CC5CC(C3)CC(C5)C4)F,C25H35FN2O3,430.6,2-(1-adamantyl)-N-[4-fluoro-3-(3-morpholin-4-ylpropoxy)phenyl]acetamide,4.6,50.8,1,5,8,31,583
CC(C)C1=CC=C(C=C1)CSC2=NN=C(S2)SCC3=NC(=O)C4C=CC=CC4=N3,C21H20N4OS3,440.6,"2-[[5-[(4-propan-2-ylphenyl)methylsulfanyl]-1,3,4-thiadiazol-2-yl]sulfanylmethyl]-4aH-quinazolin-4-one",5.2,146,0,6,7,29,725
C1CC(OC=C1)CNC2=NC(=NC=C2)C3=CC(=CN=C3)Br,C15H15BrN4O,347.21,"2-(5-bromo-3-pyridinyl)-N-(3,4-dihydro-2H-pyran-2-ylmethyl)pyrimidin-4-amine",2.8,59.9,1,5,4,21,355
C1=CC=C(C(=C1)C#CCCl)C(=O)N,C10H8ClNO,193.63,2-(3-chloroprop-1-ynyl)benzamide,1.2,43.1,1,1,2,13,250
CCC(C)C1=C(CC(=C1)C)[Si](C2=CC(=CC(=C2)C)C)C3=CC(=CC(=C3)C)C,C26H33Si,373.6,,,0,0,0,5,27,525
C[C@@H](C1=CC2=NC=CN2N=C1C3=CC=CC=C3)NC4=C(C(=NC(=N4)SC)Cl)C#N,C20H16ClN7S,421.9,"4-chloro-2-methylsulfanyl-6-[[(1S)-1-(6-phenylimidazo[1,2-b]pyridazin-7-yl)ethyl]amino]pyrimidine-5-carbonitrile",4.6,117,1,7,5,29,595
CC1=C(C=CC(=C1)C(F)(F)F)S(=O)(=O)N2CCC(C(C2)C(=O)O)C(=O)O,C15H16F3NO6S,395.4,"1-[2-methyl-4-(trifluoromethyl)phenyl]sulfonylpiperidine-3,4-dicarboxylic acid",1.5,120,2,10,4,26,659
CC(C)(C)OC(=O)C1CCCC(NC2=C1C=C(C3=CC=CC=C32)O)O,C20H25NO4,343.4,"tert-butyl 8,15-dihydroxy-16-azatricyclo[8.6.0.02,7]hexadeca-1(10),2,4,6,8-pentaene-11-carboxylate",3.9,78.8,3,5,3,25,475
COC1=CC=CC(=C1)C2=NC(=CS2)COC(=O)C3=CC(=CC=C3)N4CCCC4=O,C22H20N2O4S,408.5,"[2-(3-methoxyphenyl)-1,3-thiazol-4-yl]methyl 3-(2-oxopyrrolidin-1-yl)benzoate",3.4,97,0,6,7,29,589
C1CCC2=C(C1)C(=NN2CCNC(=O)C3=CC=C(C=C3)C#N)C4=CC=CC=N4,C22H21N5O,371.4,"4-cyano-N-[2-(3-pyridin-2-yl-4,5,6,7-tetrahydroindazol-1-yl)ethyl]benzamide",2.7,83.6,1,4,5,28,579
C[C@]12CC[C@@H](C(C1CC[C@@]3(C2CC(C4C3(CCC4C5(CCCC(O5)(C)C)C)C)O)C)(C)C)O,C30H52O3,460.7,"(3S,8R,10R)-4,4,8,10,14-pentamethyl-17-(2,6,6-trimethyloxan-2-yl)-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,12-diol",6.9,49.7,2,3,1,33,789
CCOC1=CC=C(C=C1)S(=O)(=O)N(CC2=CSC=C2)CC3=CC=CC=N3,C19H20N2O3S2,388.5,4-ethoxy-N-(pyridin-2-ylmethyl)-N-(thiophen-3-ylmethyl)benzenesulfonamide,3,96.1,0,6,8,26,515
CC1CC(CC1NCC(C)(C)S(=O)(=O)C)(C)C,C13H27NO2S,261.43,"2,4,4-trimethyl-N-(2-methyl-2-methylsulfonylpropyl)cyclopentan-1-amine",2.9,54.6,1,3,4,17,365
CCCC1=NC2=CC=CC=C2N1CC(COC3=CC(=CC(=C3)C)C)O,C21H26N2O2,338.4,"1-(3,5-dimethylphenoxy)-3-(2-propylbenzimidazol-1-yl)propan-2-ol",4.3,47.3,1,3,7,25,395
CCCCCCN(C(CCCCC)C(=O)NC1CCCCC1)C(=O)CC2=CC=CC=C2,C27H44N2O2,428.6,N-cyclohexyl-2-[hexyl-(2-phenylacetyl)amino]heptanamide,7.2,49.4,1,2,14,31,495
CC[C@@H](C)NC(=O)[C@@H](CC1=CC=CC=C1)N(CC2=CC=CC=C2C)C(=O)CCSCC3=CC=CC=C3,C31H38N2O2S,502.7,(2R)-2-[3-benzylsulfanylpropanoyl-[(2-methylphenyl)methyl]amino]-N-[(2R)-butan-2-yl]-3-phenylpropanamide,6.3,74.7,1,3,13,36,644
CC(C)N(C)C(=O)CCCCCCCCCCCC1CC2(C(CCC2OC(=O)C)C3C1=C4CCC(=O)C=C4CC3)C,C36H57NO4,567.8,"[13-methyl-11-[12-[methyl(propan-2-yl)amino]-12-oxododecyl]-3-oxo-2,6,7,8,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate",7.6,63.7,0,4,15,41,1010
C1=C(C=NN1C(=N)N2C=C(C=N2)C(F)(F)F)C(F)(F)F,C9H5F6N5,297.16,bis[4-(trifluoromethyl)pyrazol-1-yl]methanimine,2.4,59.5,1,9,2,20,346
C1=CC=C(C=C1)COCC(COC2C(C(C(=O)C2(COCC3=CC=CC=C3)O)OCC4=CC=CC=C4)OCC5=CC=CC=C5)OCC6=CC=CC=C6,C44H46O8,702.8,"3-[2,3-bis(phenylmethoxy)propoxy]-2-hydroxy-4,5-bis(phenylmethoxy)-2-(phenylmethoxymethyl)cyclopentan-1-one",5.9,92.7,1,8,20,52,979
CCC[C@H](C#N)NC(=O)CCOC(C)C,C11H20N2O2,212.29,N-[(1R)-1-cyanobutyl]-3-propan-2-yloxypropanamide,1.2,62.1,1,3,7,15,230
C[C@H](C(=O)NC1=CC(=C(C(=C1)OC)OC)OC)OC(=O)[C@@H]2CC[C@H](NC2=O)C(F)(F)F,C19H23F3N2O7,448.4,"[(2R)-1-oxo-1-(3,4,5-trimethoxyanilino)propan-2-yl] (3R,6S)-2-oxo-6-(trifluoromethyl)piperidine-3-carboxylate",2.5,112,2,10,8,31,647
CN1C=NN=C1SC2CC(CCC2CN)C3=CC=CC=C3,C16H22N4S,302.4,"[2-[(4-methyl-1,2,4-triazol-3-yl)sulfanyl]-4-phenylcyclohexyl]methanamine",2.4,82,1,4,4,21,321
CCOCC1=CC(=CC=C1)NC(=O)C2=C(N=CC=C2)OC3=CC=C(C=C3)Br,C21H19BrN2O3,427.3,2-(4-bromophenoxy)-N-[3-(ethoxymethyl)phenyl]pyridine-3-carboxamide,4.3,60.5,1,4,7,27,457
CCC[C@@](C)(C(=O)NC1=C(C=CC(=C1)Cl)C)N,C13H19ClN2O,254.75,(2S)-2-amino-N-(5-chloro-2-methylphenyl)-2-methylpentanamide,2.4,55.1,2,2,4,17,272
[CH3-].C[C-]1C(=C(C(=C1C)C)C)C.C[C-]1C(=C(C(=C1C)C)C)C.Cl[Ti+3],C21H33ClTi,368.8,"carbanide;chlorotitanium(3+);bis(1,2,3,4,5-pentamethylcyclopenta-1,3-diene)",,0,0,3,0,23,248
CS(=O)(=O)C1=CC=C(C=C1)NC(=O)CSC2=NC3=C(N2C4=CC=CC=C4)CCCC3,C22H23N3O3S2,441.6,"N-(4-methylsulfonylphenyl)-2-[(1-phenyl-4,5,6,7-tetrahydrobenzimidazol-2-yl)sulfanyl]acetamide",3.7,115,1,5,6,30,682
CN1C(=NN=C1SCC(=O)C2=C(C=C(C=C2)O)O)C3=CC(=CC=C3)OC,C18H17N3O4S,371.4,"1-(2,4-dihydroxyphenyl)-2-[[5-(3-methoxyphenyl)-4-methyl-1,2,4-triazol-3-yl]sulfanyl]ethanone",3.2,123,2,7,6,26,483
CC(=CC(=O)OC1=CC=CC=C1C=O)C,C12H12O3,204.22,(2-formylphenyl) 3-methylbut-2-enoate,2.9,43.4,0,3,4,15,264
CC(C)OC[C@@](CO)(COC(C=C)O)NC(=O)C=C,C13H23NO5,273.33,N-[(2S)-1-hydroxy-2-(1-hydroxyprop-2-enoxymethyl)-3-propan-2-yloxypropan-2-yl]prop-2-enamide,-0.1,88,3,5,10,19,305
CC(C)CN1C(=NN=C1C2CC2)CO,C10H17N3O,195.26,"[5-cyclopropyl-4-(2-methylpropyl)-1,2,4-triazol-3-yl]methanol",0.4,50.9,1,3,4,14,194
COC(=O)C(C=C(CCCNC(=O)C1=CC=C(C=C1)Br)I)(F)F,C15H15BrF2INO3,502.09,"methyl 7-[(4-bromobenzoyl)amino]-2,2-difluoro-4-iodohept-3-enoate",4.7,55.4,1,5,8,23,452
CC(C)C1CCN(CC1)CC2=CN=CC=C2,C14H22N2,218.34,3-[(4-propan-2-ylpiperidin-1-yl)methyl]pyridine,2.7,16.1,0,2,3,16,195
CCNC(=NCC(C1=CC=CC=C1F)O)N2CCN(CC2)CC(=O)NCCOC.I,C20H33FIN5O3,537.4,2-[4-[N-ethyl-N'-[2-(2-fluorophenyl)-2-hydroxyethyl]carbamimidoyl]piperazin-1-yl]-N-(2-methoxyethyl)acetamide;hydroiodide,,89.4,4,6,11,30,514
CCC(=O)C(=O)C.[Sm],C5H8O2Sm,250.5,"pentane-2,3-dione;samarium",,34.1,0,2,2,8,94
CN1C=CN=C1[C@H](C2=CC(=CC(=C2)OC)OC)NC3=C(C=C(C=C3)[N+](=O)[O-])C#N,C20H19N5O4,393.4,"2-[[(S)-(3,5-dimethoxyphenyl)-(1-methylimidazol-2-yl)methyl]amino]-5-nitrobenzonitrile",3.3,118,1,7,6,29,593
COC1=CC=C(C=C1)NC(=O)C2=CC3CCCCC3OC2=NC4=CC=CC=C4Cl,C23H23ClN2O3,410.9,"2-(2-chlorophenyl)imino-N-(4-methoxyphenyl)-4a,5,6,7,8,8a-hexahydrochromene-3-carboxamide",5.4,59.9,1,4,4,29,642
CSC1=NN=C(S1)NC(=O)C2=CC(=O)C3=C(O2)C=C(C=C3)Br,C13H8BrN3O3S2,398.3,"7-bromo-N-(5-methylsulfanyl-1,3,4-thiadiazol-2-yl)-4-oxochromene-2-carboxamide",2.9,135,1,7,3,22,505
CC1=CC=CC=C1C2CC(=O)NC2CC(=O)O,C13H15NO3,233.26,2-[3-(2-methylphenyl)-5-oxopyrrolidin-2-yl]acetic acid,0.9,66.4,2,3,3,17,316
C1CC2=C(C(=O)C1=CC3=CC=CC=C3)NC4=C2C(=C(C=C4)Cl)Cl,C19H13Cl2NO,342.2,"2-benzylidene-5,6-dichloro-4,9-dihydro-3H-carbazol-1-one",5.8,32.9,1,1,1,23,500
CC1=CC=CC=C1CN(CC(=O)OC)C(=O)C2CCN(CC2)C(=O)C3=CC=CO3,C22H26N2O5,398.5,methyl 2-[[1-(furan-2-carbonyl)piperidine-4-carbonyl]-[(2-methylphenyl)methyl]amino]acetate,2.5,80.1,0,5,7,29,588
C1=CC(=C(C=C1Cl)C(=O)O)NC2=C3C=C(C=C(C3=NC=C2S(=O)O)F)Cl,C16H9Cl2FN2O4S,415.2,5-chloro-2-[(6-chloro-8-fluoro-3-sulfinoquinolin-4-yl)amino]benzoic acid,4.4,119,3,8,4,26,560
CC[C@@H](CN)NCCN[C@@H](CC)CO,C10H25N3O,203.33,(2S)-2-[2-[[(2S)-1-aminobutan-2-yl]amino]ethylamino]butan-1-ol,-0.3,70.3,4,4,9,14,122
CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)[C@@H](C)OC(=O)CC2=CC=C(C=C2)OCC,C24H30N2O5,426.5,[(2R)-1-[4-(diethylcarbamoyl)anilino]-1-oxopropan-2-yl] 2-(4-ethoxyphenyl)acetate,3.5,84.9,1,5,11,31,577
CCC1CCCC(C1)OC2=C(C=C3CCCCC3=N2)CN,C18H28N2O,288.4,"[2-(3-ethylcyclohexyl)oxy-5,6,7,8-tetrahydroquinolin-3-yl]methanamine",4,48.1,1,3,4,21,322
CCC(=O)CCC(=O)NCC1C2CCC(C1CC=CCCCC(=O)O)O2,C20H31NO5,365.5,7-[3-[(4-oxohexanoylamino)methyl]-7-oxabicyclo[2.2.1]heptan-2-yl]hept-5-enoic acid,1.4,92.7,2,5,12,26,530
CN(CCO)C1=CC=C(C=C1)C=CC(=O)C2=CC=C(C=C2)[N+](=O)[O-],C18H18N2O4,326.3,3-[4-[2-hydroxyethyl(methyl)amino]phenyl]-1-(4-nitrophenyl)prop-2-en-1-one,3,86.4,1,5,6,24,444
CC1CC(CCN1C(=O)C2=C(NN=C2C)C)C(=O)O,C13H19N3O3,265.31,"1-(3,5-dimethyl-1H-pyrazole-4-carbonyl)-2-methylpiperidine-4-carboxylic acid",0.9,86.3,2,4,2,19,374
CC1=C(C=CC=C1N)C2=C(C=C(C(=C2CC(=O)NCC3=CC=C(C=C3)C(=N)N)O)NC(C)C)Cl,C26H30ClN5O2,480,2-[2-(3-amino-2-methylphenyl)-3-chloro-6-hydroxy-5-(propan-2-ylamino)phenyl]-N-[(4-carbamimidoylphenyl)methyl]acetamide,4,137,6,5,8,34,684
CO.COC1=CC=C(C=C1)[C@H]2C(=NO[C@@]23CCC[C@@]4(C3=O)[C@H](C(=NO4)C5=C(C=CC=C5Cl)Cl)C6=CC=C(C=C6)OC)C7=C(C=CC=C7Cl)Cl.C(Cl)(Cl)Cl,C38H33Cl7N2O6,861.8,"(1S,5S,7S,11S)-2,10-bis(2,6-dichlorophenyl)-1,11-bis(4-methoxyphenyl)-4,8-dioxa-3,9-diazadispiro[4.1.47.35]tetradeca-2,9-dien-6-one;chloroform;methanol",,98.9,1,8,6,53,1110
CC(C)NC(=O)CCCCCCCCCCC1CC2(C(CCC2O)C3C1=C4CCC(=O)C=C4CC3)C,C32H51NO3,497.8,"11-(17-hydroxy-13-methyl-3-oxo-2,6,7,8,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-11-yl)-N-propan-2-ylundecanamide",6.3,66.4,2,3,12,36,855
